"altersgruppe";"freq";"date"
"<5";6;2020-03-22 07:45:00
"5-14";35;2020-03-22 07:45:00
"15-24";309;2020-03-22 07:45:00
"25-34";516;2020-03-22 07:45:00
"35-44";483;2020-03-22 07:45:00
"45-54";690;2020-03-22 07:45:00
"55-64";475;2020-03-22 07:45:00
">64";513;2020-03-22 07:45:00
"<5";6;2020-03-22 08:00:00
"5-14";35;2020-03-22 08:00:00
"15-24";309;2020-03-22 08:00:00
"25-34";516;2020-03-22 08:00:00
"35-44";483;2020-03-22 08:00:00
"45-54";690;2020-03-22 08:00:00
"55-64";475;2020-03-22 08:00:00
">64";513;2020-03-22 08:00:00
"<5";6;2020-03-22 08:15:00
"5-14";35;2020-03-22 08:15:00
"15-24";309;2020-03-22 08:15:00
"25-34";516;2020-03-22 08:15:00
"35-44";483;2020-03-22 08:15:00
"45-54";691;2020-03-22 08:15:00
"55-64";475;2020-03-22 08:15:00
">64";513;2020-03-22 08:15:00
"<5";6;2020-03-22 08:30:00
"5-14";35;2020-03-22 08:30:00
"15-24";309;2020-03-22 08:30:00
"25-34";515;2020-03-22 08:30:00
"35-44";483;2020-03-22 08:30:00
"45-54";691;2020-03-22 08:30:00
"55-64";475;2020-03-22 08:30:00
">64";514;2020-03-22 08:30:00
"<5";6;2020-03-22 08:45:00
"5-14";35;2020-03-22 08:45:00
"15-24";309;2020-03-22 08:45:00
"25-34";515;2020-03-22 08:45:00
"35-44";483;2020-03-22 08:45:00
"45-54";691;2020-03-22 08:45:00
"55-64";476;2020-03-22 08:45:00
">64";514;2020-03-22 08:45:00
"<5";6;2020-03-22 09:00:00
"5-14";35;2020-03-22 09:00:00
"15-24";310;2020-03-22 09:00:00
"25-34";515;2020-03-22 09:00:00
"35-44";484;2020-03-22 09:00:00
"45-54";691;2020-03-22 09:00:00
"55-64";480;2020-03-22 09:00:00
">64";516;2020-03-22 09:00:00
"<5";7;2020-03-22 09:15:00
"5-14";35;2020-03-22 09:15:00
"15-24";310;2020-03-22 09:15:00
"25-34";516;2020-03-22 09:15:00
"35-44";484;2020-03-22 09:15:00
"45-54";694;2020-03-22 09:15:00
"55-64";480;2020-03-22 09:15:00
">64";521;2020-03-22 09:15:00
"<5";7;2020-03-22 09:30:00
"5-14";35;2020-03-22 09:30:00
"15-24";311;2020-03-22 09:30:00
"25-34";517;2020-03-22 09:30:00
"35-44";488;2020-03-22 09:30:00
"45-54";697;2020-03-22 09:30:00
"55-64";481;2020-03-22 09:30:00
">64";526;2020-03-22 09:30:00
"<5";7;2020-03-22 09:45:00
"5-14";35;2020-03-22 09:45:00
"15-24";311;2020-03-22 09:45:00
"25-34";522;2020-03-22 09:45:00
"35-44";488;2020-03-22 09:45:00
"45-54";698;2020-03-22 09:45:00
"55-64";482;2020-03-22 09:45:00
">64";527;2020-03-22 09:45:00
"<5";7;2020-03-22 10:00:00
"5-14";35;2020-03-22 10:00:00
"15-24";311;2020-03-22 10:00:00
"25-34";523;2020-03-22 10:00:00
"35-44";489;2020-03-22 10:00:00
"45-54";698;2020-03-22 10:00:00
"55-64";484;2020-03-22 10:00:00
">64";531;2020-03-22 10:00:00
"<5";7;2020-03-22 10:15:00
"5-14";35;2020-03-22 10:15:00
"15-24";316;2020-03-22 10:15:00
"25-34";530;2020-03-22 10:15:00
"35-44";493;2020-03-22 10:15:00
"45-54";711;2020-03-22 10:15:00
"55-64";492;2020-03-22 10:15:00
">64";535;2020-03-22 10:15:00
"<5";7;2020-03-22 10:30:00
"5-14";35;2020-03-22 10:30:00
"15-24";316;2020-03-22 10:30:00
"25-34";530;2020-03-22 10:30:00
"35-44";493;2020-03-22 10:30:00
"45-54";711;2020-03-22 10:30:00
"55-64";493;2020-03-22 10:30:00
">64";537;2020-03-22 10:30:00
"<5";7;2020-03-22 10:45:00
"5-14";35;2020-03-22 10:45:00
"15-24";316;2020-03-22 10:45:00
"25-34";530;2020-03-22 10:45:00
"35-44";493;2020-03-22 10:45:00
"45-54";711;2020-03-22 10:45:00
"55-64";493;2020-03-22 10:45:00
">64";538;2020-03-22 10:45:00
"<5";7;2020-03-22 11:00:00
"5-14";35;2020-03-22 11:00:00
"15-24";316;2020-03-22 11:00:00
"25-34";530;2020-03-22 11:00:00
"35-44";493;2020-03-22 11:00:00
"45-54";711;2020-03-22 11:00:00
"55-64";493;2020-03-22 11:00:00
">64";538;2020-03-22 11:00:00
"<5";7;2020-03-22 11:15:00
"5-14";35;2020-03-22 11:15:00
"15-24";316;2020-03-22 11:15:00
"25-34";530;2020-03-22 11:15:00
"35-44";493;2020-03-22 11:15:00
"45-54";711;2020-03-22 11:15:00
"55-64";493;2020-03-22 11:15:00
">64";538;2020-03-22 11:15:00
"<5";7;2020-03-22 11:30:00
"5-14";35;2020-03-22 11:30:00
"15-24";316;2020-03-22 11:30:00
"25-34";531;2020-03-22 11:30:00
"35-44";493;2020-03-22 11:30:00
"45-54";712;2020-03-22 11:30:00
"55-64";493;2020-03-22 11:30:00
">64";538;2020-03-22 11:30:00
"<5";7;2020-03-22 11:45:00
"5-14";37;2020-03-22 11:45:00
"15-24";318;2020-03-22 11:45:00
"25-34";533;2020-03-22 11:45:00
"35-44";496;2020-03-22 11:45:00
"45-54";714;2020-03-22 11:45:00
"55-64";495;2020-03-22 11:45:00
">64";543;2020-03-22 11:45:00
"<5";7;2020-03-22 12:00:00
"5-14";37;2020-03-22 12:00:00
"15-24";318;2020-03-22 12:00:00
"25-34";536;2020-03-22 12:00:00
"35-44";496;2020-03-22 12:00:00
"45-54";716;2020-03-22 12:00:00
"55-64";496;2020-03-22 12:00:00
">64";545;2020-03-22 12:00:00
"<5";7;2020-03-22 12:15:00
"5-14";37;2020-03-22 12:15:00
"15-24";318;2020-03-22 12:15:00
"25-34";537;2020-03-22 12:15:00
"35-44";500;2020-03-22 12:15:00
"45-54";718;2020-03-22 12:15:00
"55-64";497;2020-03-22 12:15:00
">64";550;2020-03-22 12:15:00
"<5";7;2020-03-22 12:30:00
"5-14";37;2020-03-22 12:30:00
"15-24";318;2020-03-22 12:30:00
"25-34";539;2020-03-22 12:30:00
"35-44";500;2020-03-22 12:30:00
"45-54";718;2020-03-22 12:30:00
"55-64";499;2020-03-22 12:30:00
">64";552;2020-03-22 12:30:00
"<5";7;2020-03-22 12:45:00
"5-14";37;2020-03-22 12:45:00
"15-24";318;2020-03-22 12:45:00
"25-34";540;2020-03-22 12:45:00
"35-44";500;2020-03-22 12:45:00
"45-54";719;2020-03-22 12:45:00
"55-64";500;2020-03-22 12:45:00
">64";552;2020-03-22 12:45:00
"<5";7;2020-03-22 13:00:00
"5-14";37;2020-03-22 13:00:00
"15-24";319;2020-03-22 13:00:00
