"bundesland";"freq";"date"
"Sbg";247;2020-03-22 13:00:00
"Stmk";424;2020-03-22 13:00:00
"T";643;2020-03-22 13:00:00
"Vbg";263;2020-03-22 13:00:00
"W";398;2020-03-22 13:00:00
"Bgld";55;2020-03-22 13:15:00
"Ktn";105;2020-03-22 13:15:00
"NÖ";437;2020-03-22 13:15:00
"OÖ";618;2020-03-22 13:15:00
"Sbg";247;2020-03-22 13:15:00
"Stmk";424;2020-03-22 13:15:00
"T";643;2020-03-22 13:15:00
"Vbg";263;2020-03-22 13:15:00
"W";403;2020-03-22 13:15:00
"Bgld";55;2020-03-22 13:30:00
"Ktn";105;2020-03-22 13:30:00
"NÖ";441;2020-03-22 13:30:00
"OÖ";627;2020-03-22 13:30:00
"Sbg";247;2020-03-22 13:30:00
"Stmk";424;2020-03-22 13:30:00
"T";643;2020-03-22 13:30:00
"Vbg";263;2020-03-22 13:30:00
"W";403;2020-03-22 13:30:00
"Bgld";56;2020-03-22 13:45:00
"Ktn";105;2020-03-22 13:45:00
"NÖ";446;2020-03-22 13:45:00
"OÖ";627;2020-03-22 13:45:00
"Sbg";247;2020-03-22 13:45:00
"Stmk";424;2020-03-22 13:45:00
"T";643;2020-03-22 13:45:00
"Vbg";263;2020-03-22 13:45:00
"W";403;2020-03-22 13:45:00
"Bgld";62;2020-03-22 14:00:00
"Ktn";105;2020-03-22 14:00:00
"NÖ";446;2020-03-22 14:00:00
"OÖ";627;2020-03-22 14:00:00
"Sbg";248;2020-03-22 14:00:00
"Stmk";423;2020-03-22 14:00:00
"T";643;2020-03-22 14:00:00
"Vbg";263;2020-03-22 14:00:00
"W";403;2020-03-22 14:00:00
"Bgld";63;2020-03-22 14:15:00
"Ktn";105;2020-03-22 14:15:00
"NÖ";446;2020-03-22 14:15:00
"OÖ";627;2020-03-22 14:15:00
"Sbg";269;2020-03-22 14:15:00
"Stmk";423;2020-03-22 14:15:00
"T";644;2020-03-22 14:15:00
"Vbg";263;2020-03-22 14:15:00
"W";403;2020-03-22 14:15:00
"Bgld";63;2020-03-22 14:30:00
"Ktn";105;2020-03-22 14:30:00
"NÖ";446;2020-03-22 14:30:00
"OÖ";628;2020-03-22 14:30:00
"Sbg";269;2020-03-22 14:30:00
"Stmk";423;2020-03-22 14:30:00
"T";644;2020-03-22 14:30:00
"Vbg";263;2020-03-22 14:30:00
"W";403;2020-03-22 14:30:00
"Bgld";63;2020-03-22 14:45:00
